"useid","roomid","devicename","deviceid","dataid","data1","technology","starttime","endtime"
"101630","jw0z8r8c_Calgary","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-10-03 16:26:51.851+00","2019-10-03 16:56:55.196+00"
"101632","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-03 16:26:51.856+00","2019-10-03 16:56:55.163+00"
"101622","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-03 16:21:05.926+00","2019-10-03 17:21:11.992+00"
"101621","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-03 16:21:05.93+00","2019-10-03 17:21:11.996+00"
"101941","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_02","Device_Sync","Connected","Presentation","2019-10-03 18:26:15.05+00","2019-10-03 18:41:15.787+00"
"102021","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-03 19:01:17.842+00","2019-10-03 21:36:33.986+00"
"102412","jw0z8r8c_Montreal","AirMedia","AM-200_01","Sync_State","Connected","Presentation","2019-10-04 13:29:03.891+00","2019-10-04 13:39:04.874+00"
"102543","jw0z8r8c_Edmonton","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-04 14:24:09.881+00","2019-10-04 14:59:14.165+00"
"102542","jw0z8r8c_Edmonton","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-10-04 14:24:09.891+00","2019-10-04 14:59:14.153+00"
"102587","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-04 14:39:10.869+00","2019-10-04 15:34:16.768+00"
